id_bairro,chamados_totais,nome
144.0,124,Campo Grande
33.0,96,Tijuca
128.0,60,Barra da Tijuca
141.0,58,Bangu
24.0,51,Copacabana
66.0,48,Engenho de Dentro
139.0,40,Realengo
20.0,37,Botafogo
132.0,36,Recreio dos Bandeirantes
122.0,35,Taquara
5.0,34,Centro
151.0,30,Guaratiba
149.0,29,Santa Cruz
26.0,28,Leblon
115.0,27,Jacarepaguá
69.0,22,Piedade
15.0,21,Flamengo
150.0,21,Sepetiba
83.0,20,Madureira
74.0,19,Vila da Penha
36.0,19,Vila Isabel
35.0,19,Maracanã
42.0,18,Olaria
82.0,18,Cascadura
121.0,18,Pechincha
25.0,18,Ipanema
38.0,18,Grajaú
76.0,18,Irajá
106.0,17,Guadalupe
99.0,17,Jardim Guanabara
148.0,17,Paciência
17.0,17,Laranjeiras
125.0,17,Vila Valqueire
40.0,17,Bonsucesso
86.0,15,Rocha Miranda
89.0,15,Bento Ribeiro
22.0,15,Urca
120.0,15,Freguesia (Jacarepaguá)
63.0,14,Méier
116.0,13,Anil
90.0,13,Marechal Hermes
7.0,13,Rio Comprido
140.0,12,Padre Miguel
18.0,12,Catete
10.0,12,São Cristóvão
14.0,12,Santa Teresa
45.0,12,Brás de Pina
50.0,12,Higienópolis
21.0,11,Humaitá
43.0,11,Penha
75.0,11,Vista Alegre
146.0,11,Inhoaíba
107.0,11,Anchieta
48.0,10,Vigário Geral
37.0,10,Andaraí
104.0,10,Galeão
124.0,10,Praça Seca
55.0,10,Engenho da Rainha
119.0,10,Curicica
79.0,10,Quintino Bocaiúva
46.0,10,Cordovil
127.0,10,Itanhangá
131.0,10,Vargem Grande
61.0,9,Engenho Novo
109.0,9,Ricardo de Albuquerque
130.0,9,Vargem Pequena
65.0,9,Cachambi
147.0,9,Cosmos
100.0,9,Jardim Carioca
49.0,9,Jardim América
44.0,9,Penha Circular
53.0,8,Del Castilho
47.0,8,Parada de Lucas
68.0,8,Encantado
142.0,8,Senador Camará
64.0,8,Todos os Santos
54.0,8,Inhaúma
78.0,7,Campinho
59.0,7,Riachuelo
137.0,7,Jardim Sulacap
101.0,7,Tauá
31.0,7,São Conrado
41.0,7,Ramos
23.0,6,Leme
28.0,6,Jardim Botânico
114.0,6,Pavuna
77.0,6,Colégio
156.0,6,Complexo do Alemão
143.0,6,Santíssimo
16.0,6,Glória
3.0,5,Santo Cristo
27.0,5,Lagoa
70.0,5,Abolição
72.0,5,Vila Kosmos
145.0,5,Senador Vasconcelos
138.0,4,Magalhães Bastos
12.0,4,Benfica
91.0,4,Ribeira
88.0,4,Osvaldo Cruz
103.0,4,Portuguesa
29.0,4,Gávea
80.0,4,Cavalcanti
73.0,4,Vicente de Carvalho
62.0,4,Lins de Vasconcelos
110.0,4,Coelho Neto
34.0,3,Alto da Boa Vista
32.0,3,Praça da Bandeira
52.0,3,Maria da Graça
93.0,3,Cacuia
161.0,3,Lapa
152.0,3,Barra de Guaratiba
8.0,3,Cidade Nova
87.0,3,Honório Gurgel
153.0,3,Pedra de Guaratiba
58.0,3,Rocha
135.0,3,Vila Militar
95.0,2,Praia da Bandeira
4.0,2,Caju
9.0,2,Estácio
6.0,2,Catumbi
11.0,2,Mangueira
113.0,2,Costa Barros
98.0,2,Freguesia (Ilha)
81.0,2,Engenheiro Leal
157.0,2,Maré
56.0,2,Tomás Coelho
57.0,2,São Francisco Xavier
51.0,2,Jacaré
71.0,2,Pilares
94.0,2,Pitangueiras
108.0,2,Parque Anchieta
162.0,2,Vila Kennedy
117.0,2,Gardênia Azul
19.0,1,Cosme Velho
1.0,1,Saúde
84.0,1,Vaz Lobo
85.0,1,Turiaçú
123.0,1,Tanque
118.0,1,Cidade de Deus
111.0,1,Acari
134.0,1,Deodoro
129.0,1,Camorim
158.0,1,Vasco da Gama
159.0,1,Parque Colúmbia
164.0,1,Ilha de Guaratiba
