id_bairro,nome,subprefeitura
1,Saúde,Centro
10,São Cristóvão,Centro
100,Jardim Carioca,Ilhas
101,Tauá,Ilhas
102,Moneró,Ilhas
103,Portuguesa,Ilhas
104,Galeão,Ilhas
105,Cidade Universitária,Ilhas
106,Guadalupe,Zona Norte
107,Anchieta,Zona Norte
108,Parque Anchieta,Zona Norte
109,Ricardo de Albuquerque,Zona Norte
11,Mangueira,Centro
110,Coelho Neto,Zona Norte
111,Acari,Zona Norte
112,Barros Filho,Zona Norte
113,Costa Barros,Zona Norte
114,Pavuna,Zona Norte
115,Jacarepaguá,Jacarepaguá
116,Anil,Jacarepaguá
117,Gardênia Azul,Jacarepaguá
118,Cidade de Deus,Jacarepaguá
119,Curicica,Jacarepaguá
12,Benfica,Centro
120,Freguesia (Jacarepaguá),Jacarepaguá
121,Pechincha,Jacarepaguá
122,Taquara,Jacarepaguá
123,Tanque,Jacarepaguá
124,Praça Seca,Jacarepaguá
125,Vila Valqueire,Jacarepaguá
126,Joá,Barra da Tijuca
127,Itanhangá,Barra da Tijuca
128,Barra da Tijuca,Barra da Tijuca
129,Camorim,Barra da Tijuca
13,Paquetá,Ilhas
130,Vargem Pequena,Barra da Tijuca
131,Vargem Grande,Barra da Tijuca
132,Recreio dos Bandeirantes,Barra da Tijuca
133,Grumari,Barra da Tijuca
134,Deodoro,Grande Bangu
135,Vila Militar,Grande Bangu
136,Campo dos Afonsos,Grande Bangu
137,Jardim Sulacap,Grande Bangu
138,Magalhães Bastos,Grande Bangu
139,Realengo,Grande Bangu
14,Santa Teresa,Centro
140,Padre Miguel,Grande Bangu
141,Bangu,Grande Bangu
142,Senador Camará,Grande Bangu
143,Santíssimo,Zona Oeste
144,Campo Grande,Zona Oeste
145,Senador Vasconcelos,Zona Oeste
146,Inhoaíba,Zona Oeste
147,Cosmos,Zona Oeste
148,Paciência,Zona Oeste
149,Santa Cruz,Zona Oeste
15,Flamengo,Zona Sul
150,Sepetiba,Zona Oeste
151,Guaratiba,Zona Oeste
152,Barra de Guaratiba,Zona Oeste
153,Pedra de Guaratiba,Zona Oeste
154,Rocinha,Zona Sul
155,Jacarezinho,Zona Norte
156,Complexo do Alemão,Zona Norte
157,Maré,Zona Norte
158,Vasco da Gama,Centro
159,Parque Colúmbia,Zona Norte
16,Glória,Centro
160,Gericinó,Grande Bangu
161,Lapa,Centro
162,Vila Kennedy,Grande Bangu
163,Jabour,Grande Bangu
164,Ilha de Guaratiba,Zona Oeste
17,Laranjeiras,Zona Sul
18,Catete,Zona Sul
19,Cosme Velho,Zona Sul
2,Gamboa,Centro
20,Botafogo,Zona Sul
21,Humaitá,Zona Sul
22,Urca,Zona Sul
23,Leme,Zona Sul
24,Copacabana,Zona Sul
25,Ipanema,Zona Sul
26,Leblon,Zona Sul
27,Lagoa,Zona Sul
28,Jardim Botânico,Zona Sul
29,Gávea,Zona Sul
3,Santo Cristo,Centro
30,Vidigal,Zona Sul
31,São Conrado,Zona Sul
32,Praça da Bandeira,Grande Tijuca
33,Tijuca,Grande Tijuca
34,Alto da Boa Vista,Grande Tijuca
35,Maracanã,Grande Tijuca
36,Vila Isabel,Grande Tijuca
37,Andaraí,Grande Tijuca
38,Grajaú,Grande Tijuca
39,Manguinhos,Zona Norte
4,Caju,Centro
40,Bonsucesso,Zona Norte
41,Ramos,Zona Norte
42,Olaria,Zona Norte
43,Penha,Zona Norte
44,Penha Circular,Zona Norte
45,Brás de Pina,Zona Norte
46,Cordovil,Zona Norte
47,Parada de Lucas,Zona Norte
48,Vigário Geral,Zona Norte
49,Jardim América,Zona Norte
5,Centro,Centro
50,Higienópolis,Zona Norte
51,Jacaré,Zona Norte
52,Maria da Graça,Zona Norte
53,Del Castilho,Zona Norte
54,Inhaúma,Zona Norte
55,Engenho da Rainha,Zona Norte
56,Tomás Coelho,Zona Norte
57,São Francisco Xavier,Zona Norte
58,Rocha,Zona Norte
59,Riachuelo,Zona Norte
6,Catumbi,Centro
60,Sampaio,Zona Norte
61,Engenho Novo,Zona Norte
62,Lins de Vasconcelos,Zona Norte
63,Méier,Zona Norte
64,Todos os Santos,Zona Norte
65,Cachambi,Zona Norte
66,Engenho de Dentro,Zona Norte
67,Água Santa,Zona Norte
68,Encantado,Zona Norte
69,Piedade,Zona Norte
7,Rio Comprido,Centro
70,Abolição,Zona Norte
71,Pilares,Zona Norte
72,Vila Kosmos,Zona Norte
73,Vicente de Carvalho,Zona Norte
74,Vila da Penha,Zona Norte
75,Vista Alegre,Zona Norte
76,Irajá,Zona Norte
77,Colégio,Zona Norte
78,Campinho,Zona Norte
79,Quintino Bocaiúva,Zona Norte
8,Cidade Nova,Centro
80,Cavalcanti,Zona Norte
81,Engenheiro Leal,Zona Norte
82,Cascadura,Zona Norte
83,Madureira,Zona Norte
84,Vaz Lobo,Zona Norte
85,Turiaçú,Zona Norte
86,Rocha Miranda,Zona Norte
87,Honório Gurgel,Zona Norte
88,Osvaldo Cruz,Zona Norte
89,Bento Ribeiro,Zona Norte
9,Estácio,Centro
90,Marechal Hermes,Zona Norte
91,Ribeira,Ilhas
92,Zumbi,Ilhas
93,Cacuia,Ilhas
94,Pitangueiras,Ilhas
95,Praia da Bandeira,Ilhas
96,Cocotá,Ilhas
97,Bancários,Ilhas
98,Freguesia (Ilha),Ilhas
99,Jardim Guanabara,Ilhas
